date,signal,direction,bullish_ratio,bearish_ratio,n_articles,actual_label,actual_return,trade_return,correct
2024-10-04,buy,1,0.933,0.067,30,1,0.0287,0.0287,True
2024-10-09,buy,1,0.867,0.133,30,1,0.0245,0.0245,True
2024-10-14,buy,1,0.967,0.033,30,1,0.0239,0.0239,True
2024-10-15,sell,-1,0.0,1.0,30,0,-0.0234,0.0234,True
2024-10-17,buy,1,0.9,0.1,30,1,0.0483,0.0483,True
2024-11-07,buy,1,0.933,0.067,30,1,0.0235,0.0235,True
2024-11-11,sell,-1,0.0,1.0,30,0,-0.0323,0.0323,True
2024-11-21,buy,1,0.967,0.033,30,1,0.0297,0.0297,True
2024-11-25,sell,-1,0.133,0.867,30,0,-0.0194,0.0194,True
2024-11-29,buy,1,1.0,0.0,30,1,0.0392,0.0392,True
2024-12-02,buy,1,0.9,0.1,30,1,0.0193,0.0193,True
2024-12-10,sell,-1,0.0,1.0,30,0,-0.0188,0.0188,True
2024-12-13,buy,1,0.933,0.067,30,1,0.0188,0.0188,True
2024-12-19,sell,-1,0.1,0.9,30,0,-0.0327,0.0327,True
2024-12-20,buy,1,0.9,0.1,30,1,0.0435,0.0435,True
2025-01-03,buy,1,0.833,0.167,30,1,0.0465,0.0465,True
2025-01-07,sell,-1,0.133,0.867,30,0,-0.0221,0.0221,True
2025-01-10,sell,-1,0.133,0.867,30,0,-0.0227,0.0227,True
2025-01-14,sell,-1,0.033,0.967,30,0,-0.0229,0.0229,True
2025-01-15,buy,1,0.933,0.067,30,1,0.0376,0.0376,True
2025-01-22,sell,-1,0.0,1.0,30,0,-0.0573,0.0573,True
2025-02-03,buy,1,1.0,0.0,30,1,0.0234,0.0234,True
2025-02-07,sell,-1,0.1,0.9,30,0,-0.0178,0.0178,True
2025-02-13,sell,-1,0.067,0.933,30,0,-0.0275,0.0275,True
2025-02-14,buy,1,0.967,0.033,30,1,0.0236,0.0236,True
2025-02-21,sell,-1,0.0,1.0,30,0,-0.0183,0.0183,True
2025-02-24,sell,-1,0.0,1.0,30,0,-0.0186,0.0186,True
2025-02-26,sell,-1,0.033,0.967,30,0,-0.0189,0.0189,True
