N-gram,TF,DF,TF-IDF,TF期望值,DF期望值,TF卡方值(保留正負號),DF卡方值(保留正負號),MI(用DF),Lift(用DF)
中科,318.0,108.0,6.75433164587976,138.260869565217,46.9565217391304,233.660869565217,79.3565217391305,-3.96189547366785,2.3
金龍,275.0,130.0,6.35572214762992,119.565217391304,56.5217391304348,202.065217391304,95.5217391304348,-3.96189547366785,2.3
保護費,262.0,177.0,5.85870249445584,113.913043478261,76.9565217391304,192.513043478261,130.05652173913,-3.96189547366785,2.3
蘇姿丰,238.0,85.0,6.86281347757775,103.478260869565,36.9565217391304,174.878260869565,62.4565217391304,-3.96189547366785,2.3
工研院,238.0,44.0,7.82840052521725,103.478260869565,19.1304347826087,174.878260869565,32.3304347826087,-3.96189547366785,2.3
龍潭,172.0,52.0,7.26664787540773,74.7826086956522,22.6086956521739,126.382608695652,38.2086956521739,-3.96189547366785,2.3
福岡,149.0,22.0,8.31207509673735,64.7826086956522,9.56521739130435,109.482608695652,16.1652173913043,-3.96189547366785,2.3
半導體展,125.0,83.0,6.3264216028694,54.3478260869565,36.0869565217391,91.8478260869565,60.9869565217392,-3.96189547366785,2.3
總統候選人,115.0,102.0,5.97844671211634,50.0,44.3478260869565,84.5,74.9478260869565,-3.96189547366785,2.3
紅海,113.0,65.0,6.56101097692037,49.1304347826087,28.2608695652174,83.0304347826087,47.7608695652174,-3.96189547366785,2.3
晶片代工廠,111.0,95.0,6.04244418463663,48.2608695652174,41.304347826087,81.5608695652174,69.804347826087,-3.96189547366785,2.3
質疑,110.0,93.0,6.06275027238425,47.8260869565217,40.4347826086957,80.8260869565217,68.3347826086956,-3.96189547366785,2.3
美國前總統,110.0,102.0,5.94073804317063,47.8260869565217,44.3478260869565,80.8260869565217,74.9478260869565,-3.96189547366785,2.3
王美花,110.0,31.0,7.51386336642214,47.8260869565217,13.4782608695652,80.8260869565217,22.7782608695652,-3.96189547366785,2.3
宏達電,110.0,75.0,6.34688230227182,47.8260869565217,32.6086956521739,80.8260869565217,55.1086956521739,-3.96189547366785,2.3
台新銀,107.0,17.0,8.27459987512024,46.5217391304348,7.39130434782609,78.6217391304348,12.4913043478261,-3.96189547366785,2.3
反壟斷,106.0,60.0,6.60649420693977,46.0869565217391,26.0869565217391,77.8869565217391,44.0869565217391,-3.96189547366785,2.3
前總統川普,103.0,91.0,6.03427333193419,44.7826086956522,39.5652173913044,75.6826086956521,66.8652173913043,-3.96189547366785,2.3
高雄廠,100.0,48.0,6.84196270887679,43.4782608695652,20.8695652173913,73.4782608695652,35.2695652173913,-3.96189547366785,2.3
自駕,95.0,52.0,6.68764601053187,41.304347826087,22.6086956521739,69.804347826087,38.2086956521739,-3.96189547366785,2.3
龍年開紅盤,92.0,60.0,6.47215454700591,40.0,26.0869565217391,67.6,44.0869565217391,-3.96189547366785,2.3
捷運,90.0,43.0,6.8787380769634,39.1304347826087,18.695652173913,66.1304347826087,31.595652173913,-3.96189547366785,2.3
付保護費,89.0,74.0,6.17208156312945,38.695652173913,32.1739130434783,65.395652173913,54.3739130434783,-3.96189547366785,2.3
康霈,89.0,9.0,8.87074159615156,38.695652173913,3.91304347826087,65.395652173913,6.61304347826087,-3.96189547366785,2.3
候選人川普,89.0,87.0,5.96477621603891,38.695652173913,37.8260869565217,65.395652173913,63.9260869565217,-3.96189547366785,2.3
政府要求,89.0,84.0,6.00972482110295,38.695652173913,36.5217391304348,65.395652173913,61.7217391304348,-3.96189547366785,2.3
羅素,87.0,58.0,6.46243748402433,37.8260869565217,25.2173913043478,63.9260869565217,42.6173913043478,-3.96189547366785,2.3
物流,86.0,42.0,6.86275360281235,37.3913043478261,18.2608695652174,63.1913043478261,30.8608695652174,-3.96189547366785,2.3
美國政府要求,84.0,79.0,6.03649727145872,36.5217391304348,34.3478260869565,61.7217391304348,58.0478260869565,-3.96189547366785,2.3
奈米先進,82.0,74.0,6.09763263460257,35.6521739130435,32.1739130434783,60.2521739130435,54.3739130434783,-3.96189547366785,2.3
工業電腦,81.0,56.0,6.43853494479552,35.2173913043478,24.3478260869565,59.5173913043478,41.1478260869565,-3.96189547366785,2.3
新銀行,80.0,17.0,7.92963513595554,34.7826086956522,7.39130434782609,58.7826086956522,12.4913043478261,-3.96189547366785,2.3
石英,80.0,11.0,8.47848240230434,34.7826086956522,4.78260869565217,58.7826086956522,8.08260869565217,-3.96189547366785,2.3
機組,79.0,25.0,7.42938681623405,34.3478260869565,10.8695652173913,58.0478260869565,18.3695652173913,-3.96189547366785,2.3
台新銀行,79.0,17.0,7.91471352832615,34.3478260869565,7.39130434782609,58.0478260869565,12.4913043478261,-3.96189547366785,2.3
高鋒,78.0,55.0,6.42488297480844,33.9130434782609,23.9130434782609,57.3130434782609,40.4130434782609,-3.96189547366785,2.3
成本價,78.0,78.0,5.98605992759771,33.9130434782609,33.9130434782609,57.3130434782609,57.3130434782609,-3.96189547366785,2.3
烏克蘭,73.0,44.0,6.63845026105187,31.7391304347826,19.1304347826087,53.6391304347826,32.3304347826087,-3.96189547366785,2.3
售電,73.0,11.0,8.36234239738515,31.7391304347826,4.78260869565217,53.6391304347826,8.08260869565217,-3.96189547366785,2.3
興農,71.0,19.0,7.65033066537644,30.8695652173913,8.26086956521739,52.1695652173913,13.9608695652174,-3.96189547366785,2.3
商圈,71.0,24.0,7.36104872012164,30.8695652173913,10.4347826086957,52.1695652173913,17.6347826086957,-3.96189547366785,2.3
小米,68.0,32.0,6.95875351182395,29.5652173913043,13.9130434782609,49.9652173913044,23.5130434782609,-3.96189547366785,2.3
駕車,66.0,32.0,6.9269018625781,28.695652173913,13.9130434782609,48.495652173913,23.5130434782609,-3.96189547366785,2.3
自駕車,65.0,31.0,6.94939746733123,28.2608695652174,13.4782608695652,47.7608695652174,22.7782608695652,-3.96189547366785,2.3
徵才,65.0,16.0,7.75738351328975,28.2608695652174,6.95652173913043,47.7608695652174,11.7565217391304,-3.96189547366785,2.3
以巴衝突,64.0,45.0,6.4785798883282,27.8260869565217,19.5652173913043,47.0260869565217,33.0652173913044,-3.96189547366785,2.3
台特化,64.0,21.0,7.4074064311267,27.8260869565217,9.1304347826087,47.0260869565217,15.4304347826087,-3.96189547366785,2.3
支行,63.0,16.0,7.71995275827894,27.3913043478261,6.95652173913043,46.2913043478261,11.7565217391304,-3.96189547366785,2.3
自住,63.0,42.0,6.54666709165242,27.3913043478261,18.2608695652174,46.2913043478261,30.8608695652174,-3.96189547366785,2.3
計價,63.0,47.0,6.40992331576109,27.3913043478261,20.4347826086957,46.2913043478261,34.5347826086957,-3.96189547366785,2.3
研究員,62.0,32.0,6.86019570442187,26.9565217391304,13.9130434782609,45.5565217391304,23.5130434782609,-3.96189547366785,2.3
動能策略,61.0,9.0,8.37730553462428,26.5217391304348,3.91304347826087,44.8217391304348,6.61304347826087,-3.96189547366785,2.3
