N-gram,TF,DF
鴻海,4259.0,2442.0
供應鏈,2740.0,1516.0
聯準會,1906.0,1189.0
銀行融資,1546.0,737.0
工業,1516.0,1069.0
晶圓代工,1347.0,886.0
美債,1292.0,594.0
賣壓,1278.0,952.0
籌碼,1189.0,948.0
配息,1186.0,387.0
黃仁勳,1155.0,471.0
航運,1154.0,746.0
群創,1098.0,563.0
低點,1060.0,773.0
融券,1026.0,467.0
系統,1013.0,638.0
競爭,1001.0,652.0
電腦,987.0,606.0
世芯,966.0,651.0
大立光,959.0,709.0
長榮航,956.0,637.0
研發,931.0,508.0
大法人賣,931.0,309.0
中央社,928.0,869.0
台達,917.0,724.0
魏哲家,903.0,347.0
中華,875.0,592.0
微軟,865.0,578.0
特斯拉,863.0,569.0
陽明,860.0,609.0
汽車,852.0,529.0
奈米製程,851.0,444.0
庫存,847.0,475.0
現金,841.0,508.0
技術面,802.0,617.0
友達,773.0,489.0
材料,768.0,489.0
創意,764.0,515.0
自營商賣,752.0,514.0
日月光投控,734.0,597.0
半年線,723.0,457.0
那斯達克指數,715.0,551.0
晶圓廠,707.0,353.0
日圓,704.0,330.0
永豐,697.0,522.0
緯穎,693.0,575.0
電動,692.0,442.0
設廠,684.0,424.0
日均線,676.0,331.0
財訊,675.0,622.0
自營商買,637.0,433.0
熊本,634.0,206.0
電子權,628.0,526.0
電子權值,622.0,521.0
上市櫃,618.0,449.0
日收,613.0,484.0
弱勢,610.0,482.0
盤下,608.0,488.0
電動車,604.0,403.0
財訊快報,603.0,602.0
房市,599.0,235.0
系列,597.0,343.0
盈餘,595.0,321.0
夥伴,592.0,411.0
張忠謀,588.0,175.0
高階,578.0,395.0
收盤價,574.0,380.0
華碩,572.0,409.0
適用,571.0,142.0
華電,566.0,443.0
旗下,565.0,461.0
車用,557.0,335.0
新低,555.0,371.0
大選,554.0,392.0
總裁,551.0,414.0
日期,542.0,323.0
開發金,530.0,382.0
開低走,530.0,434.0
張投信買,530.0,283.0
總成交,529.0,354.0
華航,529.0,371.0
處理器,529.0,304.0
整合,528.0,358.0
環境,528.0,406.0
交易所,526.0,392.0
業界,524.0,375.0
航空,522.0,314.0
團隊,517.0,339.0
公債,509.0,318.0
證交所,508.0,322.0
架構,500.0,336.0
績效,498.0,278.0
摩根,498.0,275.0
營業,498.0,299.0
處分,498.0,198.0
餘額,496.0,257.0
首季,495.0,284.0
中東,494.0,328.0
電力,494.0,267.0
劉德音,492.0,157.0
玉山,487.0,346.0
中市,486.0,339.0
觀光,485.0,314.0
製造業,484.0,314.0
散戶,469.0,241.0
平倉,467.0,191.0
獨立,466.0,346.0
點成交量,466.0,360.0
貨櫃,464.0,325.0
合併營收,458.0,258.0
韓國,458.0,266.0
價差,455.0,236.0
創辦人,453.0,292.0
停板,450.0,331.0
下台,449.0,405.0
美光,445.0,318.0
未平倉,443.0,170.0
聯詠,443.0,280.0
日報,443.0,284.0
站穩,441.0,368.0
轉型,440.0,279.0
仁寶,438.0,342.0
權重,434.0,186.0
總成交值,433.0,275.0
實現,431.0,334.0
訊號,428.0,294.0
生成,428.0,260.0
美系,425.0,221.0
佈局,425.0,337.0
保守,424.0,343.0
換算,421.0,217.0
終場下,416.0,326.0
恐慌,416.0,283.0
尚未,416.0,369.0
補助,415.0,175.0
美國經濟,415.0,336.0
時代,414.0,309.0
玉山金,413.0,312.0
累積,413.0,313.0
分類,413.0,241.0
華邦,410.0,311.0
物價,408.0,311.0
主管,406.0,279.0
決策,406.0,320.0
華邦電,405.0,308.0
收入,404.0,239.0
電信,403.0,275.0
持平,400.0,335.0
挫點,399.0,339.0
金管,396.0,212.0
撐盤,396.0,328.0
當時,394.0,288.0
主流,393.0,345.0
電聯發科,389.0,354.0
集中市場,388.0,269.0
依舊,388.0,320.0
低檔,388.0,297.0
功能,387.0,257.0
債券,385.0,185.0
轉向,382.0,333.0
新興,379.0,291.0
降溫,379.0,313.0
買回,379.0,101.0
永豐金,377.0,304.0
下探,376.0,305.0
官員,376.0,277.0
大法人合,375.0,357.0
大法人合計,374.0,356.0
大投,374.0,242.0
疲弱,374.0,328.0
放緩,373.0,315.0
券交易,373.0,266.0
亞利桑那,373.0,186.0
措施,373.0,265.0
名單,372.0,203.0
出爐,371.0,339.0
生成式,368.0,235.0
數位,367.0,251.0
融券增張券資,367.0,194.0
看台,367.0,341.0
淨利,367.0,227.0
解決方案,361.0,254.0
年增率,361.0,234.0
危機,360.0,282.0
爆發,357.0,297.0
休市,357.0,254.0
嘉義,356.0,100.0
攀升,353.0,317.0
日收盤,353.0,269.0
相信,352.0,282.0
巴菲特,352.0,190.0
模型,352.0,208.0
籌碼面,351.0,290.0
陷入,350.0,309.0
虧損,350.0,223.0
大類,349.0,340.0
攜手,347.0,286.0
日盤勢,347.0,188.0
效率,347.0,265.0
投顧董事長,345.0,252.0
廠房,344.0,199.0
疑慮,343.0,305.0
台積電奈米,338.0,233.0
全台,337.0,214.0
統大,335.0,271.0
海聯,335.0,303.0
類股指數,332.0,173.0
退休,332.0,160.0
論壇,331.0,180.0
科技業,330.0,237.0
博通,328.0,210.0
力守,328.0,266.0
氣氛,328.0,292.0
失業,327.0,244.0
速報,327.0,184.0
疫情,325.0,261.0
公債殖利率,325.0,232.0
部門,323.0,188.0
作帳,319.0,189.0
鉅額,318.0,166.0
收成,316.0,276.0
勞動,314.0,184.0
總統大選,313.0,257.0
驅動,313.0,236.0
龍頭台積電,312.0,301.0
季度,312.0,189.0
積電聯發科,311.0,284.0
努力,311.0,258.0
華通,311.0,258.0
生態,311.0,203.0
導入,311.0,234.0
加劇,310.0,278.0
相關供應,310.0,272.0
台積電聯發科,310.0,283.0
大舉,309.0,262.0
名列,309.0,297.0
鎖定,308.0,242.0
支援,305.0,215.0
日經,302.0,213.0
證券交易,302.0,256.0
上海,299.0,242.0
亞利桑那州,299.0,149.0
建立,298.0,236.0
電價,297.0,113.0
半導體業,297.0,238.0
本土,296.0,252.0
控制,295.0,222.0
現金股利,293.0,157.0
相關供應鏈,292.0,255.0
世達,291.0,246.0
櫃公司,291.0,185.0
遊戲,290.0,162.0
表現相對,287.0,255.0
分享台,284.0,283.0
類別,284.0,274.0
法案,283.0,160.0
