label,n_days,acc,f1,acc_up,acc_dn,n@0.55,rate@0.55,acc@0.55,n@0.6,rate@0.6,acc@0.6,n@0.65,rate@0.65,acc@0.65
NB_v2|mean,53,0.4151,0.2933,0.9565,0.0,3,0.057,0.6667,0,0.0,,0,0.0,
NB_v3|mean,53,0.3774,0.3437,0.6957,0.1333,1,0.019,0.0,0,0.0,,0,0.0,
RF_v2|mean,53,0.3774,0.2962,0.8261,0.0333,32,0.604,0.3438,20,0.377,0.25,6,0.113,0.3333
RF_v3|mean,53,0.4528,0.4118,0.8261,0.1667,50,0.943,0.44,34,0.642,0.4412,19,0.358,0.4737
XGB_v2|mean,53,0.4906,0.4787,0.7391,0.3,41,0.774,0.439,23,0.434,0.4348,0,0.0,
XGB_v3|mean,53,0.4906,0.4787,0.7391,0.3,41,0.774,0.439,23,0.434,0.4348,0,0.0,
XGB_txt|mean,53,0.3962,0.369,0.6957,0.1667,9,0.17,0.5556,0,0.0,,0,0.0,
NB_v2|max,53,0.434,0.3026,1.0,0.0,53,1.0,0.434,0,0.0,,0,0.0,
NB_v3|max,53,0.5283,0.4066,0.087,0.8667,53,1.0,0.5283,53,1.0,0.5283,40,0.755,0.5
RF_v2|max,53,0.4151,0.3388,0.8696,0.0667,53,1.0,0.4151,45,0.849,0.3778,26,0.491,0.3077
RF_v3|max,53,0.4528,0.4118,0.8261,0.1667,53,1.0,0.4528,53,1.0,0.4528,53,1.0,0.4528
XGB_v2|max,53,0.4906,0.4787,0.7391,0.3,41,0.774,0.439,23,0.434,0.4348,0,0.0,
XGB_v3|max,53,0.4906,0.4787,0.7391,0.3,41,0.774,0.439,23,0.434,0.4348,0,0.0,
XGB_txt|max,53,0.4151,0.4015,0.6522,0.2333,53,1.0,0.4151,53,1.0,0.4151,53,1.0,0.4151
NB_v2|length_wt,53,0.434,0.3026,1.0,0.0,2,0.038,0.5,0,0.0,,0,0.0,
NB_v3|length_wt,53,0.4151,0.2933,0.9565,0.0,0,0.0,,0,0.0,,0,0.0,
RF_v2|length_wt,53,0.3962,0.3072,0.8696,0.0333,33,0.623,0.3333,20,0.377,0.25,8,0.151,0.25
RF_v3|length_wt,53,0.4528,0.4118,0.8261,0.1667,51,0.962,0.451,36,0.679,0.4722,18,0.34,0.5
XGB_v2|length_wt,53,0.4906,0.4787,0.7391,0.3,41,0.774,0.439,23,0.434,0.4348,0,0.0,
XGB_v3|length_wt,53,0.4906,0.4787,0.7391,0.3,41,0.774,0.439,23,0.434,0.4348,0,0.0,
XGB_txt|length_wt,53,0.4528,0.398,0.8696,0.1333,14,0.264,0.5714,0,0.0,,0,0.0,
NB_v2|attention,53,0.4151,0.2933,0.9565,0.0,4,0.075,0.5,0,0.0,,0,0.0,
NB_v3|attention,53,0.3774,0.3437,0.6957,0.1333,1,0.019,0.0,0,0.0,,0,0.0,
RF_v2|attention,53,0.3774,0.2962,0.8261,0.0333,33,0.623,0.3333,20,0.377,0.25,8,0.151,0.25
RF_v3|attention,53,0.4528,0.4118,0.8261,0.1667,52,0.981,0.4423,36,0.679,0.4722,21,0.396,0.4762
XGB_v2|attention,53,0.4906,0.4787,0.7391,0.3,41,0.774,0.439,23,0.434,0.4348,0,0.0,
XGB_v3|attention,53,0.4906,0.4787,0.7391,0.3,41,0.774,0.439,23,0.434,0.4348,0,0.0,
