date,n_train,n_articles,price_d0,price_d3,d3_date,actual_d3,actual_return,confidence,skip_reason,prob_mean,prob_std,pred_50,pred_60,pred_65,pred_70
2024-10-04,6139,124,977.0,1020.0,2024-10-09,1,0.044012282497441144,0.3592,,0.312,0.2341,0,0.0,,
2024-10-08,6263,119,1010.0,1045.0,2024-10-14,1,0.034653465346534656,0.436,,0.4139,0.2591,0,,,
2024-10-09,6382,143,1020.0,1070.0,2024-10-15,1,0.049019607843137254,0.4009,,0.3803,0.229,0,,,
2024-10-14,6009,128,1045.0,1035.0,2024-10-17,2,-0.009569377990430622,0.3765,,0.3847,0.2288,0,0.0,,
2024-10-15,5799,134,1070.0,1085.0,2024-10-18,2,0.014018691588785047,0.3736,,0.3578,0.2311,0,0.0,,
2024-10-16,5552,104,1045.0,1085.0,2024-10-21,1,0.03827751196172249,0.6304,,0.5983,0.2275,1,1.0,,
2024-10-17,5136,299,1035.0,1075.0,2024-10-22,1,0.03864734299516908,0.7518,,0.7302,0.2325,1,1.0,1.0,1.0
2024-10-21,4700,192,1085.0,1060.0,2024-10-24,0,-0.02304147465437788,0.7186,,0.7244,0.1901,1,1.0,1.0,1.0
2024-10-22,4670,176,1075.0,1065.0,2024-10-25,2,-0.009302325581395349,0.7178,,0.7018,0.2329,1,1.0,1.0,1.0
2024-10-25,4670,148,1065.0,1030.0,2024-10-30,0,-0.03286384976525822,0.6293,,0.6407,0.2258,1,1.0,,
2024-10-28,4818,176,1050.0,1025.0,2024-11-01,0,-0.023809523809523808,0.5471,,0.5618,0.2481,1,,,
2024-10-29,4994,208,1040.0,1040.0,2024-11-04,2,0.0,0.4657,,0.4586,0.2721,0,,,
2024-11-01,4415,139,1025.0,1060.0,2024-11-06,1,0.03414634146341464,0.613,,0.6603,0.2105,1,1.0,,
2024-11-04,4108,96,1040.0,1065.0,2024-11-07,1,0.02403846153846154,0.6097,,0.6027,0.2402,1,1.0,,
2024-11-05,3754,98,1050.0,1090.0,2024-11-08,1,0.0380952380952381,0.6327,,0.6325,0.235,1,1.0,,
2024-11-07,3405,273,1065.0,1050.0,2024-11-12,2,-0.014084507042253521,0.3266,,0.2983,0.2114,0,0.0,0.0,
2024-11-11,3405,167,1085.0,1035.0,2024-11-14,0,-0.04608294930875576,0.6797,,0.6499,0.2173,1,1.0,1.0,
2024-11-12,3572,182,1050.0,1035.0,2024-11-15,2,-0.014285714285714285,0.6851,,0.6557,0.275,1,1.0,1.0,
2024-11-15,3424,153,1035.0,1025.0,2024-11-20,2,-0.00966183574879227,0.7062,,0.6334,0.2151,1,1.0,1.0,1.0
2024-11-18,3424,105,1025.0,1010.0,2024-11-21,2,-0.014634146341463415,0.7872,,0.7841,0.1923,1,1.0,1.0,1.0
2024-11-19,3309,118,1040.0,1040.0,2024-11-22,2,0.0,0.8383,,0.8459,0.1783,1,1.0,1.0,1.0
2024-11-20,3309,120,1025.0,1030.0,2024-11-25,2,0.004878048780487805,0.6446,,0.61,0.2103,1,1.0,,
2024-11-21,3309,112,1010.0,1010.0,2024-11-26,2,0.0,0.7659,,0.751,0.205,1,1.0,1.0,1.0
2024-11-22,3309,120,1040.0,1000.0,2024-11-27,0,-0.038461538461538464,0.6944,,0.6453,0.2456,1,1.0,1.0,
2024-11-25,3429,82,1030.0,1005.0,2024-11-28,0,-0.024271844660194174,0.591,,0.5808,0.2192,1,,,
2024-11-26,3511,148,1010.0,996.0,2024-11-29,2,-0.013861386138613862,0.3708,,0.3538,0.2731,0,0.0,,
2024-11-28,3359,161,1005.0,1055.0,2024-12-03,1,0.04975124378109453,0.482,,0.5418,0.3213,0,,,
2024-11-29,3520,120,996.0,1070.0,2024-12-04,1,0.07429718875502007,0.801,,0.8428,0.2083,1,1.0,1.0,1.0
2024-12-02,3546,116,1035.0,1075.0,2024-12-05,1,0.03864734299516908,0.5581,,0.5673,0.255,1,,,
2024-12-03,3544,118,1055.0,1065.0,2024-12-06,2,0.009478672985781991,0.7296,,0.7476,0.2342,1,1.0,1.0,1.0
2024-12-05,3544,115,1075.0,1065.0,2024-12-10,2,-0.009302325581395349,0.6307,,0.5939,0.2221,1,1.0,,
