date,n_train,n_articles,price_d0,price_d3,d3_date,actual_d3,actual_return,confidence,skip_reason,prob_mean,prob_std,pred_50,pred_60,pred_65,pred_70
2024-10-04,6139,124,977.0,1020.0,2024-10-09,1,0.044012282497441144,0.2926,,0.2798,0.0517,0,0.0,0.0,0.0
2024-10-08,6263,119,1010.0,1045.0,2024-10-14,1,0.034653465346534656,0.4056,,0.3994,0.0683,0,,,
2024-10-09,6382,143,1020.0,1070.0,2024-10-15,1,0.049019607843137254,0.3269,,0.3127,0.0556,0,0.0,0.0,
2024-10-14,6009,128,1045.0,1035.0,2024-10-17,2,-0.009569377990430622,0.49,,0.4834,0.0823,0,,,
2024-10-15,5799,134,1070.0,1085.0,2024-10-18,2,0.014018691588785047,0.4869,,0.4685,0.0863,0,,,
2024-10-16,5552,104,1045.0,1085.0,2024-10-21,1,0.03827751196172249,0.6504,,0.6466,0.0567,1,1.0,1.0,
2024-10-17,5136,299,1035.0,1075.0,2024-10-22,1,0.03864734299516908,0.5646,,0.5602,0.0592,1,,,
2024-10-21,4700,192,1085.0,1060.0,2024-10-24,0,-0.02304147465437788,0.6991,,0.7086,0.0471,1,1.0,1.0,
2024-10-22,4670,176,1075.0,1065.0,2024-10-25,2,-0.009302325581395349,0.5202,,0.5389,0.0725,1,,,
2024-10-25,4670,148,1065.0,1030.0,2024-10-30,0,-0.03286384976525822,0.3589,,0.3744,0.058,0,0.0,,
2024-10-28,4818,176,1050.0,1025.0,2024-11-01,0,-0.023809523809523808,0.3299,,0.334,0.0754,0,0.0,0.0,
2024-10-29,4994,208,1040.0,1040.0,2024-11-04,2,0.0,0.3576,,0.3675,0.0617,0,0.0,,
2024-11-01,4415,139,1025.0,1060.0,2024-11-06,1,0.03414634146341464,0.3297,,0.3448,0.0804,0,0.0,0.0,
2024-11-04,4108,96,1040.0,1065.0,2024-11-07,1,0.02403846153846154,0.4664,,0.4675,0.0831,0,,,
