window_requested,window_used,n_total,n_trade,n_skip,n_extreme_consensus,win_rate,accuracy,macro_f1,total_ret,bnh_ret,total_ret_no_extreme,win_rate_no_extreme,max_dd,sharpe,model,threshold
15,15,15,15,0,15,0.6667,0.6667,0.4,0.1494,0.1494,0.0,,-0.0331,5.6702,RF,0.5
30,29,29,29,0,27,0.5172,0.5172,0.3409,0.0842,0.0842,-0.049,0.0,-0.1362,1.7163,RF,0.5
45,29,29,29,0,27,0.5172,0.5172,0.3409,0.0842,0.0842,-0.049,0.0,-0.1362,1.7163,RF,0.5
60,29,29,29,0,27,0.5172,0.5172,0.3409,0.0842,0.0842,-0.049,0.0,-0.1362,1.7163,RF,0.5
15,15,15,0,15,15,,,,0.0,0.1494,0.0,,0.0,,RF,0.6
30,29,29,0,29,27,,,,0.0,0.0842,0.0,,0.0,,RF,0.6
45,29,29,0,29,27,,,,0.0,0.0842,0.0,,0.0,,RF,0.6
60,29,29,0,29,27,,,,0.0,0.0842,0.0,,0.0,,RF,0.6
15,15,15,0,15,15,,,,0.0,0.1494,0.0,,0.0,,RF,0.65
30,29,29,0,29,27,,,,0.0,0.0842,0.0,,0.0,,RF,0.65
45,29,29,0,29,27,,,,0.0,0.0842,0.0,,0.0,,RF,0.65
60,29,29,0,29,27,,,,0.0,0.0842,0.0,,0.0,,RF,0.65
15,15,15,15,0,1,0.6,0.6,0.375,0.0434,0.1494,0.0634,0.6429,-0.0794,1.7861,NB,0.5
30,29,29,29,0,1,0.4828,0.4828,0.3256,-0.0157,0.0842,0.0031,0.5,-0.1362,-0.059,NB,0.5
45,29,29,29,0,1,0.4828,0.4828,0.3256,-0.0157,0.0842,0.0031,0.5,-0.1362,-0.059,NB,0.5
60,29,29,29,0,1,0.4828,0.4828,0.3256,-0.0157,0.0842,0.0031,0.5,-0.1362,-0.059,NB,0.5
15,15,15,0,15,1,,,,0.0,0.1494,0.0,,0.0,,NB,0.6
30,29,29,0,29,1,,,,0.0,0.0842,0.0,,0.0,,NB,0.6
45,29,29,0,29,1,,,,0.0,0.0842,0.0,,0.0,,NB,0.6
60,29,29,0,29,1,,,,0.0,0.0842,0.0,,0.0,,NB,0.6
15,15,15,0,15,1,,,,0.0,0.1494,0.0,,0.0,,NB,0.65
30,29,29,0,29,1,,,,0.0,0.0842,0.0,,0.0,,NB,0.65
45,29,29,0,29,1,,,,0.0,0.0842,0.0,,0.0,,NB,0.65
60,29,29,0,29,1,,,,0.0,0.0842,0.0,,0.0,,NB,0.65
15,15,15,15,0,0,0.6667,0.6667,0.4,0.1494,0.1494,0.1494,0.6667,-0.0331,5.6702,XGBoost,0.5
30,29,29,29,0,0,0.5517,0.5517,0.4155,0.1456,0.0842,0.1456,0.5517,-0.0873,2.7535,XGBoost,0.5
45,29,29,29,0,0,0.5517,0.5517,0.4155,0.1456,0.0842,0.1456,0.5517,-0.0873,2.7535,XGBoost,0.5
60,29,29,29,0,0,0.5517,0.5517,0.4155,0.1456,0.0842,0.1456,0.5517,-0.0873,2.7535,XGBoost,0.5
15,15,15,5,10,0,0.6,0.6,0.375,-0.0394,0.1494,-0.0394,0.6,-0.0525,-1.2645,XGBoost,0.6
30,29,29,7,22,0,0.5714,0.5714,0.3636,0.0346,0.0842,0.0346,0.5714,-0.1352,0.8505,XGBoost,0.6
45,29,29,7,22,0,0.5714,0.5714,0.3636,0.0346,0.0842,0.0346,0.5714,-0.1352,0.8505,XGBoost,0.6
60,29,29,7,22,0,0.5714,0.5714,0.3636,0.0346,0.0842,0.0346,0.5714,-0.1352,0.8505,XGBoost,0.6
15,15,15,1,14,0,1.0,1.0,1.0,-0.0527,0.1494,-0.0527,1.0,-0.0751,-1.7861,XGBoost,0.65
30,29,29,1,28,0,1.0,1.0,1.0,-0.0093,0.0842,-0.0093,1.0,-0.1225,0.059,XGBoost,0.65
45,29,29,1,28,0,1.0,1.0,1.0,-0.0093,0.0842,-0.0093,1.0,-0.1225,0.059,XGBoost,0.65
60,29,29,1,28,0,1.0,1.0,1.0,-0.0093,0.0842,-0.0093,1.0,-0.1225,0.059,XGBoost,0.65
