model,trade_date,confidence,pred,label,return_rate,title
RF,2025-01-22,0.7299597732725784,1,0,-0.0572687224669603,#其他 台積電零股
RF,2025-02-21,0.7266807511466917,1,0,-0.0182648401826484,#請益 投資新手發問-為何一堆人都在推all in0050/006208就好？
RF,2024-11-11,0.7258963780563803,1,0,-0.032258064516129,台積電禁賣7奈米以下晶片給中國的影響
RF,2025-02-13,0.7100446240916716,1,0,-0.0275229357798165,#分享 國泰20年美債停損
RF,2024-12-10,0.6984432750990078,1,0,-0.0187793427230046,#請益 高股息縮水，除了市值型還有其他推薦的ETF嗎？
RF,2025-02-13,0.6906917334798816,1,0,-0.0275229357798165,#分享 國泰20年美債停損
RF,2025-01-07,0.6839949751012792,1,0,-0.0221238938053097,券商晨訊台股投資建議摘要 (1) 2025年1月7日
RF,2025-02-07,0.6788423926680545,1,0,-0.0177777777777777,DeepSeek 是個大利多
RF,2024-11-11,0.6701867326649874,1,0,-0.032258064516129,台積電禁賣7奈米以下晶片給中國的影響
RF,2025-02-07,0.6683736447781271,1,0,-0.0177777777777777,DeepSeek 是個大利多
NB,2025-02-03,0.5001303553544221,0,1,0.0233644859813084,#其他 台積電有是不是穩800+了？
NB,2025-02-03,0.5000730359601533,0,1,0.0233644859813084,#其他 台積電有是不是穩800+了？
NB,2024-11-11,0.5000656348610015,1,0,-0.032258064516129,元富期貨：午後指數跌幅收斂，加權指數終場跌24.25點、跌幅0.1%
NB,2024-10-17,0.5000635516983412,0,1,0.0483091787439613,#請益 今天沒買到台積電的，明天是不是不建議再去搶了
NB,2024-10-17,0.5000616833302982,0,1,0.0483091787439613,#其他 一個字形容明天台股
NB,2025-02-26,0.50006112679217,1,0,-0.0188679245283018,《晨間解盤》台股月季線震盪 鋼鐵股短多
NB,2025-02-26,0.5000604144352899,1,0,-0.0188679245283018,【國票金控晨訊】台股估開低震盪 短線留意鋼鐵族群
NB,2025-02-14,0.500059715423548,0,1,0.0235849056603773,#標的 2330 台積電 入手價
NB,2024-12-10,0.5000594687867951,1,0,-0.0187793427230046,台積電真有那麼好?
NB,2025-02-26,0.5000585570781473,1,0,-0.0188679245283018,康霈兩度挑戰1000元、保瑞再上900元！生技股會強到股東會前嗎？
XGBoost,2025-01-22,0.9951229691505432,1,0,-0.0572687224669603,台積電漲2% 台股衝高300點 力拚封關三線收紅
XGBoost,2025-01-10,0.9945805668830872,1,0,-0.0227272727272727,《各報要聞》美債息狂飆高＋川普狂語再起 台股又面臨23K保衛戰
XGBoost,2024-10-15,0.9937406182289124,1,0,-0.0233644859813084,1分鐘讀財經》陸圍台軍演！國家隊1800億銀彈上膛 穩住台股信心
XGBoost,2025-01-07,0.9933746457099915,1,0,-0.0221238938053097,《各報要聞》利多無極限 台積締5紀錄
XGBoost,2025-01-10,0.9920184016227722,1,0,-0.0227272727272727,《晨間解盤》短線有雜音 5題材抗震
XGBoost,2025-01-22,0.990643322467804,1,0,-0.0572687224669603,《盤中解析》電金出動 觸及23600
XGBoost,2025-01-07,0.9880332946777344,1,0,-0.0221238938053097,《各報要聞》外資看台積 笑開懷
XGBoost,2024-09-30,0.987687349319458,0,1,0.0156739811912225,"[標的] 2330.TW 台積電,人棄我取,多多益善多~"
XGBoost,2024-10-15,0.9857831001281738,1,0,-0.0233644859813084,"#分享 2024/10/15 晨間分析
大盤延續偏多震盪，操作短多標的因應"
XGBoost,2024-10-04,0.9856225252151489,0,1,0.0286591606960081,貨櫃三雄慘摔逾9％、萬海殺跌停 台股翻黑下跌87點
