window_requested,window_used,n_total,n_trade,n_skip,n_extreme_consensus,win_rate,accuracy,macro_f1,total_ret,bnh_ret,total_ret_no_extreme,win_rate_no_extreme,max_dd,sharpe,model,threshold
15,15,15,15,0,15,0.3333,0.3333,0.25,-0.0418,0.0043,0.0,,-0.0866,-2.0139,RF_v2,0.5
30,30,30,30,0,27,0.4,0.4,0.325,-0.0112,0.0365,0.027,0.3333,-0.0866,-0.1181,RF_v2,0.5
45,45,45,45,0,39,0.4,0.4,0.3132,-0.1188,-0.0321,0.0648,0.6667,-0.1167,-1.8327,RF_v2,0.5
60,53,53,53,0,47,0.3774,0.3774,0.2962,-0.1791,-0.0548,0.0648,0.6667,-0.1772,-2.6101,RF_v2,0.5
15,15,15,6,9,15,0.0,0.0,0.0,-0.1661,0.0043,0.0,,-0.1461,-11.1234,RF_v2,0.6
30,30,30,13,17,27,0.2308,0.2308,0.1875,-0.2094,0.0365,-0.0467,,-0.1972,-6.0807,RF_v2,0.6
45,45,45,18,27,39,0.2778,0.2778,0.2174,-0.1837,-0.0321,-0.0809,,-0.2153,-3.0841,RF_v2,0.6
60,53,53,20,33,47,0.25,0.25,0.2,-0.1967,-0.0548,-0.0809,,-0.2153,-2.9248,RF_v2,0.6
15,15,15,0,15,15,,,,-0.0104,0.0043,0.0,,-0.0711,-0.3712,RF_v2,0.65
30,30,30,1,29,27,0.0,0.0,0.0,-0.0738,0.0365,-0.0467,,-0.1306,-1.7482,RF_v2,0.65
45,45,45,5,40,39,0.4,0.4,0.2857,-0.0261,-0.0321,-0.0809,,-0.1573,-0.2431,RF_v2,0.65
60,53,53,6,47,47,0.3333,0.3333,0.25,-0.0417,-0.0548,-0.0809,,-0.1573,-0.4232,RF_v2,0.65
15,15,15,15,0,4,0.3333,0.3333,0.25,-0.0418,0.0043,0.016,0.4545,-0.0866,-2.0139,NB_v2,0.5
30,30,30,30,0,8,0.4,0.4,0.2857,-0.0111,0.0365,0.0093,0.4545,-0.0866,-0.1138,NB_v2,0.5
45,45,45,45,0,9,0.4222,0.4222,0.2969,-0.0765,-0.0321,-0.0488,0.4722,-0.0866,-1.0832,NB_v2,0.5
60,53,53,53,0,10,0.4151,0.4151,0.2933,-0.0982,-0.0548,-0.0535,0.4651,-0.0962,-1.2718,NB_v2,0.5
15,15,15,0,15,4,,,,0.0,0.0043,0.0,,0.0,,NB_v2,0.6
30,30,30,0,30,8,,,,0.0,0.0365,0.0,,0.0,,NB_v2,0.6
45,45,45,0,45,9,,,,0.0,-0.0321,0.0,,0.0,,NB_v2,0.6
60,53,53,0,53,10,,,,0.0,-0.0548,0.0,,0.0,,NB_v2,0.6
15,15,15,0,15,4,,,,0.0,0.0043,0.0,,0.0,,NB_v2,0.65
30,30,30,0,30,8,,,,0.0,0.0365,0.0,,0.0,,NB_v2,0.65
45,45,45,0,45,9,,,,0.0,-0.0321,0.0,,0.0,,NB_v2,0.65
60,53,53,0,53,10,,,,0.0,-0.0548,0.0,,0.0,,NB_v2,0.65
15,15,15,15,0,15,0.4,0.4,0.3541,0.0036,0.0043,0.0,,-0.0872,0.336,XGBoost_v2,0.5
30,30,30,30,0,30,0.5333,0.5333,0.5139,0.1695,0.0365,0.0,,-0.0872,4.1899,XGBoost_v2,0.5
45,45,45,45,0,45,0.5111,0.5111,0.499,0.2237,-0.0321,0.0,,-0.0872,3.4342,XGBoost_v2,0.5
60,53,53,53,0,53,0.4906,0.4906,0.4787,0.1823,-0.0548,0.0,,-0.0872,2.5247,XGBoost_v2,0.5
15,15,15,8,7,15,0.375,0.375,0.2727,-0.0446,0.0043,0.0,,-0.0536,-2.1664,XGBoost_v2,0.6
