window_requested,window_used,n_total,n_trade,n_skip,n_extreme_consensus,win_rate,accuracy,macro_f1,total_ret,bnh_ret,total_ret_no_extreme,win_rate_no_extreme,max_dd,sharpe,model,threshold,signal_threshold
15,15,15,15,0,13,0.4,0.4,0.2857,0.0043,0.0043,0.0056,0.5,-0.0866,0.3712,RF_v3,0.5,0.5500000000000003
30,30,30,30,0,25,0.4667,0.4667,0.4,0.0558,0.0365,0.0523,0.6,-0.0866,1.5156,RF_v3,0.5,0.5500000000000003
45,45,45,45,0,35,0.4889,0.4889,0.4498,0.0304,-0.0321,0.0337,0.5,-0.0866,0.6465,RF_v3,0.5,0.5500000000000003
60,53,53,53,0,42,0.4717,0.4717,0.4379,-0.0044,-0.0548,0.048,0.5455,-0.0866,0.1059,RF_v3,0.5,0.5500000000000003
15,15,15,12,3,13,0.3333,0.3333,0.25,-0.038,0.0043,-0.0082,,-0.1193,-1.8135,RF_v3,0.6,0.5500000000000003
30,30,30,21,9,25,0.4286,0.4286,0.3,-0.0351,0.0365,-0.0366,,-0.1193,-0.7246,RF_v3,0.6,0.5500000000000003
45,45,45,29,16,35,0.4828,0.4828,0.413,0.0207,-0.0321,0.054,1.0,-0.1193,0.4973,RF_v3,0.6,0.5500000000000003
60,53,53,34,19,42,0.4412,0.4412,0.3758,-0.0408,-0.0548,0.0394,1.0,-0.1193,-0.4097,RF_v3,0.6,0.5500000000000003
15,15,15,10,5,13,0.4,0.4,0.2857,0.008,0.0043,-0.0082,,-0.0771,0.5576,RF_v3,0.65,0.5500000000000003
30,30,30,15,15,25,0.4667,0.4667,0.3182,0.0593,0.0365,-0.0366,,-0.0771,1.6022,RF_v3,0.65,0.5500000000000003
45,45,45,18,27,35,0.5,0.5,0.4109,0.135,-0.0321,-0.0224,,-0.0771,2.1901,RF_v3,0.65,0.5500000000000003
60,53,53,19,34,42,0.4737,0.4737,0.391,0.1174,-0.0548,-0.0359,,-0.0771,1.72,RF_v3,0.65,0.5500000000000003
15,15,15,15,0,2,0.3333,0.3333,0.3056,-0.098,0.0043,-0.058,0.3846,-0.1065,-5.3402,NB_v3,0.5,0.5
30,30,30,30,0,3,0.4,0.4,0.325,-0.0691,0.0365,-0.0416,0.4074,-0.1148,-1.6213,NB_v3,0.5,0.5
45,45,45,45,0,4,0.4,0.4,0.3541,-0.0687,-0.0321,-0.0325,0.4146,-0.1148,-0.952,NB_v3,0.5,0.5
60,53,53,53,0,4,0.3774,0.3774,0.3437,-0.1248,-0.0548,-0.0907,0.3878,-0.1148,-1.6946,NB_v3,0.5,0.5
15,15,15,0,15,2,,,,0.0,0.0043,0.0,,0.0,,NB_v3,0.6,0.5
30,30,30,0,30,3,,,,0.0,0.0365,0.0,,0.0,,NB_v3,0.6,0.5
45,45,45,0,45,4,,,,0.0,-0.0321,0.0,,0.0,,NB_v3,0.6,0.5
60,53,53,0,53,4,,,,0.0,-0.0548,0.0,,0.0,,NB_v3,0.6,0.5
15,15,15,0,15,2,,,,0.0,0.0043,0.0,,0.0,,NB_v3,0.65,0.5
30,30,30,0,30,3,,,,0.0,0.0365,0.0,,0.0,,NB_v3,0.65,0.5
45,45,45,0,45,4,,,,0.0,-0.0321,0.0,,0.0,,NB_v3,0.65,0.5
60,53,53,0,53,4,,,,0.0,-0.0548,0.0,,0.0,,NB_v3,0.65,0.5
15,15,15,15,0,15,0.4,0.4,0.3541,0.0036,0.0043,0.0,,-0.0872,0.336,XGBoost_v3,0.5,0.5
30,30,30,30,0,30,0.5333,0.5333,0.5139,0.1695,0.0365,0.0,,-0.0872,4.1899,XGBoost_v3,0.5,0.5
45,45,45,45,0,45,0.5111,0.5111,0.499,0.2237,-0.0321,0.0,,-0.0872,3.4342,XGBoost_v3,0.5,0.5
60,53,53,53,0,53,0.4906,0.4906,0.4787,0.1823,-0.0548,0.0,,-0.0872,2.5247,XGBoost_v3,0.5,0.5
15,15,15,8,7,15,0.375,0.375,0.2727,-0.0446,0.0043,0.0,,-0.0536,-2.1664,XGBoost_v3,0.6,0.5
30,30,30,15,15,30,0.5333,0.5333,0.4444,0.0231,0.0365,0.0,,-0.0536,0.7311,XGBoost_v3,0.6,0.5
45,45,45,18,27,45,0.5,0.5,0.4109,0.0468,-0.0321,0.0,,-0.1005,0.8958,XGBoost_v3,0.6,0.5
60,53,53,23,30,53,0.4348,0.4348,0.357,-0.0162,-0.0548,0.0,,-0.1005,-0.0594,XGBoost_v3,0.6,0.5
15,15,15,0,15,15,,,,0.0,0.0043,0.0,,0.0,,XGBoost_v3,0.65,0.5
30,30,30,0,30,30,,,,0.0,0.0365,0.0,,0.0,,XGBoost_v3,0.65,0.5
45,45,45,0,45,45,,,,0.0,-0.0321,0.0,,0.0,,XGBoost_v3,0.65,0.5
60,53,53,0,53,53,,,,0.0,-0.0548,0.0,,0.0,,XGBoost_v3,0.65,0.5
15,15,15,15,0,14,0.4,0.4,0.2857,0.0043,0.0043,0.0392,1.0,-0.0866,0.3712,Ensemble_v3,0.5,0.5
30,30,30,30,0,27,0.4667,0.4667,0.4,0.0558,0.0365,0.0145,0.6667,-0.0866,1.5156,Ensemble_v3,0.5,0.5
45,45,45,45,0,38,0.4889,0.4889,0.4341,0.0302,-0.0321,0.0279,0.7143,-0.0866,0.6427,Ensemble_v3,0.5,0.5
60,53,53,53,0,45,0.4717,0.4717,0.4257,-0.0047,-0.0548,0.0467,0.75,-0.0866,0.1025,Ensemble_v3,0.5,0.5
15,15,15,6,9,14,0.3333,0.3333,0.25,-0.0193,0.0043,-0.0392,,-0.0678,-0.8304,Ensemble_v3,0.6,0.5
30,30,30,11,19,27,0.4545,0.4545,0.3125,0.0306,0.0365,0.0015,,-0.0678,0.9133,Ensemble_v3,0.6,0.5
45,45,45,12,33,38,0.5,0.5,0.3333,0.1243,-0.0321,-0.0125,,-0.0678,2.0367,Ensemble_v3,0.6,0.5
60,53,53,13,40,45,0.4615,0.4615,0.3158,0.1069,-0.0548,0.0055,,-0.0678,1.5862,Ensemble_v3,0.6,0.5
15,15,15,0,15,14,,,,0.0,0.0043,0.0,,0.0,,Ensemble_v3,0.65,0.5
30,30,30,0,30,27,,,,0.0,0.0365,0.0,,0.0,,Ensemble_v3,0.65,0.5
45,45,45,0,45,38,,,,0.0,-0.0321,0.0,,0.0,,Ensemble_v3,0.65,0.5
60,53,53,0,53,45,,,,0.0,-0.0548,0.0,,0.0,,Ensemble_v3,0.65,0.5
