window_requested,window_used,n_total,n_trade,n_skip,win_rate,accuracy,macro_f1,total_ret,bnh_ret,tc_paid,max_dd,sharpe,model,threshold,signal_threshold
15,15,15,15,0,0.6,0.6,0.5833,-0.0152,-0.0003,0.03,-0.0788,-0.6259,NB_v4,0.5,0.5
30,30,30,30,0,0.5667,0.5667,0.5623,-0.0263,-0.0001,0.06,-0.1079,-0.5724,NB_v4,0.5,0.5
45,45,45,45,0,0.5111,0.5111,0.5089,0.0067,0.0048,0.09,-0.1079,0.2771,NB_v4,0.5,0.5
60,54,54,54,0,0.5185,0.5185,0.5179,0.0003,-0.0458,0.108,-0.1112,0.1688,NB_v4,0.5,0.5
15,15,15,1,14,0.0,0.0,0.0,-0.0255,-0.0003,0.002,-0.0255,-4.0988,NB_v4,0.55,0.5
30,30,30,1,29,0.0,0.0,0.0,-0.0255,-0.0001,0.002,-0.0255,-2.8983,NB_v4,0.55,0.5
45,45,45,1,44,0.0,0.0,0.0,-0.0255,0.0048,0.002,-0.0255,-2.3664,NB_v4,0.55,0.5
60,54,54,1,53,0.0,0.0,0.0,-0.0255,-0.0458,0.002,-0.0255,-2.1602,NB_v4,0.55,0.5
15,15,15,0,15,,,,0.0,-0.0003,0.0,0.0,,NB_v4,0.6,0.5
30,30,30,0,30,,,,0.0,-0.0001,0.0,0.0,,NB_v4,0.6,0.5
45,45,45,0,45,,,,0.0,0.0048,0.0,0.0,,NB_v4,0.6,0.5
60,54,54,0,54,,,,0.0,-0.0458,0.0,0.0,,NB_v4,0.6,0.5
15,15,15,15,0,0.2667,0.2667,0.2105,-0.1444,-0.0003,0.03,-0.1652,-8.5025,RF_v4,0.5,0.49000000000000016
30,30,30,30,0,0.3667,0.3667,0.2683,-0.1695,-0.0001,0.06,-0.1927,-4.9705,RF_v4,0.5,0.49000000000000016
45,45,45,45,0,0.3556,0.3556,0.2623,-0.2464,0.0048,0.09,-0.252,-4.4271,RF_v4,0.5,0.49000000000000016
60,54,54,54,0,0.3519,0.3519,0.312,-0.2921,-0.0458,0.108,-0.2974,-4.6634,RF_v4,0.5,0.49000000000000016
15,15,15,12,3,0.25,0.25,0.2,-0.1131,-0.0003,0.024,-0.1198,-7.8144,RF_v4,0.55,0.49000000000000016
30,30,30,25,5,0.36,0.36,0.2647,-0.1399,-0.0001,0.05,-0.1638,-4.4834,RF_v4,0.55,0.49000000000000016
45,45,45,33,12,0.3636,0.3636,0.2667,-0.1335,0.0048,0.066,-0.1638,-2.7136,RF_v4,0.55,0.49000000000000016
60,54,54,40,14,0.35,0.35,0.3067,-0.1862,-0.0458,0.08,-0.1923,-3.3362,RF_v4,0.55,0.49000000000000016
15,15,15,10,5,0.3,0.3,0.2308,-0.0709,-0.0003,0.02,-0.0778,-5.3465,RF_v4,0.6,0.49000000000000016
